GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,CR1AA
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: In households ~ 65 years and over
G240,1920,Maryland,24,240,Maryland,
G240,1930,Maryland,24,240,Maryland,
G240,1940,Maryland,24,240,Maryland,
G240,1950,Maryland,24,240,Maryland,
G240,1960,Maryland,24,240,Maryland,
G240,1970,Maryland,24,240,Maryland,282628
G240,1980,Maryland,24,240,MARYLAND,373888
G240,1990,Maryland,24,240,Maryland,490007
G240,2000,Maryland,24,240,Maryland,567652
G240,2010,Maryland,24,240,Maryland,680849
G240,2020,Maryland,24,240,Maryland,954755
