GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,B58AA,B58AB,B58AC,B58AD,B58AE,B58AF,B58AG,B58AH,B58AI,B58AJ,B58AK,B58AL,B58AM,B58AN,B58AO,B58AP,B58AQ,B58AR,B58AS,B58AT,B58AU,B58AV,B58AW,B58AX,B58AY,B58AZ,B58BA,B58BB,B58BC,B58BD,B58BE,B58BF,B58BG,B58BH,B58BI,B58BJ
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Male ~ Under 5 years,Persons: Male ~ 5 to 9 years,Persons: Male ~ 10 to 14 years,Persons: Male ~ 15 to 17 years,Persons: Male ~ 18 and 19 years,Persons: Male ~ 20 years,Persons: Male ~ 21 years,Persons: Male ~ 22 to 24 years,Persons: Male ~ 25 to 29 years,Persons: Male ~ 30 to 34 years,Persons: Male ~ 35 to 44 years,Persons: Male ~ 45 to 54 years,Persons: Male ~ 55 to 59 years,Persons: Male ~ 60 and 61 years,Persons: Male ~ 62 to 64 years,Persons: Male ~ 65 to 74 years,Persons: Male ~ 75 to 84 years,Persons: Male ~ 85 years and over,Persons: Female ~ Under 5 years,Persons: Female ~ 5 to 9 years,Persons: Female ~ 10 to 14 years,Persons: Female ~ 15 to 17 years,Persons: Female ~ 18 and 19 years,Persons: Female ~ 20 years,Persons: Female ~ 21 years,Persons: Female ~ 22 to 24 years,Persons: Female ~ 25 to 29 years,Persons: Female ~ 30 to 34 years,Persons: Female ~ 35 to 44 years,Persons: Female ~ 45 to 54 years,Persons: Female ~ 55 to 59 years,Persons: Female ~ 60 and 61 years,Persons: Female ~ 62 to 64 years,Persons: Female ~ 65 to 74 years,Persons: Female ~ 75 to 84 years,Persons: Female ~ 85 years and over
G240,1920,Maryland,24,240,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G240,1930,Maryland,24,240,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G240,1940,Maryland,24,240,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G240,1950,Maryland,24,240,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G240,1960,Maryland,24,240,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G240,1970,Maryland,24,240,Maryland,175360,205742,208448,112498,65541,30905,30555,95759,140082,117515,232598,225256,87015,29696,38200,82294,31978,6879,168907,198750,201480,110307,67793,33814,33629,100793,146343,120490,239289,238637,91454,32430,43431,109700,54572,14259
G240,1980,Maryland,24,240,MARYLAND,139363,149606,181707,125345,79899,39789,38874,114589,180711,172115,257545,218160,104727,36907,47902,105908,40690,8973,132911,143310,174871,120417,79350,40319,39843,118977,190425,182328,269522,228328,117955,41162,54409,141301,75045,23692
G240,1990,Maryland,24,240,Maryland,183190,168911,152048,89657,69272,36751,35767,111734,221623,221044,377728,255880,97768,37839,54049,136818,56719,11873,174628,163462,145116,85229,66492,35896,35334,114127,227573,229858,399278,265921,104402,41255,62154,177673,99776,34623
G240,2000,Maryland,24,240,Maryland,180314,200138,200821,112385,69369,33677,31408,91401,166474,196317,443754,362093,128851,41587,54812,143991,81692,18710,173079,191180,191314,106941,67424,32939,31163,93541,176396,209334,472402,392939,139796,45080,60250,177294,129428,48192
G240,2010,Maryland,24,240,Maryland,185916,186865,193068,124251,83998,41974,39735,118214,194223,179279,382477,433187,179108,63542,86399,177031,91485,31010,178572,180003,185961,118328,79664,39039,37730,117006,199325,189215,413095,469017,198881,71337,96501,209326,131674,67116
G240,2020,Maryland,24,240,Maryland,176228,192648,204845,121955,81725,42792,40846,116501,201364,210470,387366,374640,207070,79594,108627,267238,122248,39259,168819,184537,196123,116867,79706,41365,39619,115483,206904,222237,418501,413117,229143,88776,123041,320844,163733,72993
