GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A08AA,A08AB
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Male,Persons: Female
G240,1920,Maryland,24,240,Maryland,729455,720206
G240,1930,Maryland,24,240,Maryland,821009,810517
G240,1940,Maryland,24,240,Maryland,915038,906206
G240,1950,Maryland,24,240,Maryland,1166603,1176398
G240,1960,Maryland,24,240,Maryland,1533200,1567489
G240,1970,Maryland,24,240,Maryland,1916321,2006078
G240,1980,Maryland,24,240,MARYLAND,2042810,2174165
G240,1990,Maryland,24,240,Maryland,2318671,2462797
G240,2000,Maryland,24,240,Maryland,2557794,2738692
G240,2010,Maryland,24,240,Maryland,2791762,2981790
G240,2020,Maryland,24,240,Maryland,2975416,3201808
