GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,D08AA,D08AB
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Under 18 years,Persons: 18 years and over
G240,1920,Maryland,24,240,Maryland,,
G240,1930,Maryland,24,240,Maryland,,
G240,1940,Maryland,24,240,Maryland,,
G240,1950,Maryland,24,240,Maryland,,
G240,1960,Maryland,24,240,Maryland,,
G240,1970,Maryland,24,240,Maryland,1381492,2540907
G240,1980,Maryland,24,240,MARYLAND,1167530,3049445
G240,1990,Maryland,24,240,Maryland,1162241,3619227
G240,2000,Maryland,24,240,Maryland,1356172,3940314
G240,2010,Maryland,24,240,Maryland,1352964,4420588
G240,2020,Maryland,24,240,Maryland,1362022,4815202
