OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,1.0,0.0,3.0
2021-08-01,0.0,0.0,11.0
2021-09-01,0.0,1.0,6.0
2021-10-01,0.0,2.0,15.0
2021-11-01,0.0,0.0,9.0
2021-12-01,0.0,2.0,8.0
2022-01-01,0.0,2.0,8.0
2022-02-01,2.0,1.0,9.0
2022-03-01,0.0,1.0,9.0
2022-04-01,0.0,2.0,9.0
2022-05-01,3.0,5.0,17.0
2022-06-01,0.0,4.0,19.0
2022-07-01,1.0,1.0,11.0
2022-08-01,0.0,2.0,15.0
2022-09-01,0.0,6.0,18.0
2022-10-01,1.0,5.0,12.0
2022-11-01,0.0,6.0,14.0
2022-12-01,0.0,3.0,17.0
2023-01-01,0.0,3.0,16.0
2023-02-01,2.0,3.0,11.0
2023-03-01,2.0,5.0,19.0
2023-04-01,0.0,4.0,11.0
2023-05-01,3.0,5.0,13.0
2023-06-01,1.0,5.0,7.0
2023-07-23,0.0,1.0,16.0
2023-08-01,8.0,2.0,12.0
2023-09-01,2.0,5.0,15.0
2023-10-01,3.0,1.0,17.0
2023-11-01,0.0,1.0,21.0
2023-12-01,1.0,2.0,9.0
2024-01-01,1.0,3.0,16.0
2024-02-01,0.0,2.0,22.0
2024-03-01,0.0,3.0,22.0
2024-04-01,1.0,1.0,20.0
2024-05-01,1.0,4.0,13.0
2024-06-01,1.0,3.0,16.0
2024-07-01,1.0,0.0,12.0
2024-08-01,1.0,2.0,21.0
2024-09-01,0.0,1.0,23.0
2024-10-01,0.0,4.0,19.0
2024-11-01,2.0,3.0,22.0
2024-12-01,0.0,1.0,10.0
2025-01-01,1.0,3.0,23.0
2025-02-01,1.0,0.0,13.0
2025-03-01,0.0,1.0,16.0
2025-04-01,0.0,3.0,14.0
2025-05-01,1.0,1.0,17.0
2025-06-01,0.0,1.0,18.0
2025-07-01,0.0,6.0,15.0
2025-08-01,1.0,0.0,20.0
2025-09-01,0.0,1.0,20.0
2025-10-01,0.0,3.0,21.0
2025-11-01,1.0,3.0,20.0
